date,amount,direction,payment_method,counterparty,reference,balance
2026-08-16,120.00,DEBIT,UPI,SWIGGY,UPI/622801234501,45230.50
2026-08-16,500.00,DEBIT,UPI,ZOMATO,UPI/622801234502,44730.50
2026-08-17,25000.00,CREDIT,NEFT,ACME EMPLOYER PVT LTD,NEFT/N226123,69730.50
2026-08-17,1500.00,DEBIT,NACH,Indian Clearing Cor Kotak Bank,NACHDR170826000001,68230.50
2026-08-18,89.00,DEBIT,UPI,BLINKIT,UPI/622801234503,68141.50
2026-08-18,450.00,DEBIT,UPI,UBER INDIA,UPI/622801234504,67691.50
2026-08-19,2000.00,DEBIT,UPI,DEMO PERSON A,UPI/622801234505,65691.50
2026-08-20,199.00,DEBIT,UPI,NETFLIX,UPI/622801234506,65492.50
2026-08-21,340.00,DEBIT,UPI,AMAZON PAY,UPI/622801234507,65152.50
2026-08-22,60.00,DEBIT,UPI,DEMO PERSON B,UPI/622801234508,65092.50
2026-08-23,1500.00,DEBIT,NACH,Indian Clearing Cor Kotak Bank,NACHDR230826000067,63592.50
2026-08-25,850.00,DEBIT,UPI,ZOMATO,UPI/622801234509,62742.50
2026-08-26,175.00,DEBIT,UPI,APOLLO PHARMACY,UPI/622801234510,62567.50
2026-08-28,320.00,DEBIT,UPI,SWIGGY,UPI/622801234511,62247.50
2026-08-30,500.00,CREDIT,UPI,DEMO PERSON A,UPI/622801234512,62747.50
